один сот, сто
два сот, двісті
три сот, триста
чотири сот, чотириста
п’ять сот, п’ятсот
шість сот, шістсот
сім сот, сімсот
вісім сот, вісімсот
дев’ять сот, дев’ятсот
один тисяч, одна тисяча
два тисяч, дві тисячі
три тисяч, три тисячі
чотири тисяч, чотири тисячі
один мільйонів, один мільйон
два мільйонів, два мільйони
три мільйонів, три мільйони
чотири мільйонів, чотири мільйони
один мільярдів, один мільярд
два мільярдів, два мільярди
три мільярдів, три мільярди
чотири мільярдів, чотири мільярди
